1,VietJet,TP Hồ Chí Minh (SGN),2021-10-10,13:05:00,Đà Nẵng (DAD),2020-12-22,11:40:00,VJ629,49000,Hạng phổ thông
2,VietJet,TP Hồ Chí Minh (SGN),2020-12-22,13:05:00,Đà Nẵng (DAD),2020-12-22,11:40:00,VJ629,699000,Hạng thương gia
3,VietJet,TP Hồ Chí Minh (SGN),2020-12-22,13:05:00,Đà Nẵng (DAD),2020-12-22,11:40:00,VJ629,2300000,Hạng nhất
4,VietJet,TP Hồ Chí Minh (SGN),2020-12-17,13:05:00,Đà Nẵng (DAD),2020-12-23,11:40:00,VJ629,49000,Hạng phổ thông
5,VietJet,TP Hồ Chí Minh (SGN),2020-12-17,13:05:00,Đà Nẵng (DAD),2020-12-23,11:40:00,VJ629,699000,Hạng thương gia
6,VietJet,TP Hồ Chí Minh (SGN),2020-12-17,13:05:00,Đà Nẵng (DAD),2020-12-23,11:40:00,VJ629,2300000,Hạng nhất
7,VietJet,TP Hồ Chí Minh (SGN),2020-12-18,13:05:00,Đà Nẵng (DAD),2020-12-24,11:40:00,VJ629,49000,Hạng phổ thông
8,VietJet,TP Hồ Chí Minh (SGN),2020-12-18,13:05:00,Đà Nẵng (DAD),2020-12-24,11:40:00,VJ629,699000,Hạng thương gia
9,VietJet,TP Hồ Chí Minh (SGN),2020-12-18,13:05:00,Đà Nẵng (DAD),2020-12-24,11:40:00,VJ629,2300000,Hạng nhất
10,VietJet,TP Hồ Chí Minh (SGN),2020-12-19,13:05:00,Đà Nẵng (DAD),2020-12-25,11:40:00,VJ629,49000,Hạng phổ thông
11,VietJet,TP Hồ Chí Minh (SGN),2020-12-19,13:05:00,Đà Nẵng (DAD),2020-12-25,11:40:00,VJ629,699000,Hạng thương gia
12,VietJet,TP Hồ Chí Minh (SGN),2020-12-19,13:05:00,Đà Nẵng (DAD),2020-12-25,11:40:00,VJ629,2300000,Hạng nhất
13,VietJet,TP Hồ Chí Minh (SGN),2020-12-20,13:05:00,Đà Nẵng (DAD),2020-12-26,11:40:00,VJ629,49000,Hạng phổ thông
14,VietJet,TP Hồ Chí Minh (SGN),2020-12-20,13:05:00,Đà Nẵng (DAD),2020-12-26,11:40:00,VJ629,699000,Hạng thương gia
15,VietJet,TP Hồ Chí Minh (SGN),2020-12-20,13:05:00,Đà Nẵng (DAD),2020-12-26,11:40:00,VJ629,2300000,Hạng nhất
16,VietnamAirlines,TP Hồ Chí Minh (SGN),2020-12-16,13:05:00,Đà Nẵng (DAD),2020-12-22,11:40:00,VN131,49000,Hạng phổ thông
17,VietnamAirlines,TP Hồ Chí Minh (SGN),2020-12-16,13:05:00,Đà Nẵng (DAD),2020-12-22,11:40:00,VN131,699000,Hạng thương gia
18,VietnamAirlines,TP Hồ Chí Minh (SGN),2020-12-16,13:05:00,Đà Nẵng (DAD),2020-12-22,11:40:00,VN131,2300000,Hạng nhất
19,VietnamAirlines,TP Hồ Chí Minh (SGN),2020-12-17,13:05:00,Đà Nẵng (DAD),2020-12-23,11:40:00,VN131,49000,Hạng phổ thông
20,VietnamAirlines,TP Hồ Chí Minh (SGN),2020-12-17,13:05:00,Đà Nẵng (DAD),2020-12-23,11:40:00,VN131,699000,Hạng thương gia
21,VietnamAirlines,TP Hồ Chí Minh (SGN),2020-12-17,13:05:00,Đà Nẵng (DAD),2020-12-23,11:40:00,VN131,2300000,Hạng nhất
22,VietnamAirlines,TP Hồ Chí Minh (SGN),2020-12-18,13:05:00,Đà Nẵng (DAD),2020-12-24,11:40:00,VN131,49000,Hạng phổ thông
23,VietnamAirlines,TP Hồ Chí Minh (SGN),2020-12-18,13:05:00,Đà Nẵng (DAD),2020-12-24,11:40:00,VN131,699000,Hạng thương gia
24,VietnamAirlines,TP Hồ Chí Minh (SGN),2020-12-18,13:05:00,Đà Nẵng (DAD),2020-12-24,11:40:00,VN131,2300000,Hạng nhất
25,VietnamAirlines,TP Hồ Chí Minh (SGN),2020-12-19,13:05:00,Đà Nẵng (DAD),2020-12-25,11:40:00,VN131,49000,Hạng phổ thông
26,VietnamAirlines,TP Hồ Chí Minh (SGN),2020-12-19,13:05:00,Đà Nẵng (DAD),2020-12-25,11:40:00,VN131,699000,Hạng thương gia
27,VietnamAirlines,TP Hồ Chí Minh (SGN),2020-12-19,13:05:00,Đà Nẵng (DAD),2020-12-25,11:40:00,VN131,2300000,Hạng nhất
